"","Ob","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","Age","Age_new","TotalArea2","BsmtFinSF1_New","Neighborhood_Class","TotalArea2_Transformed","Age_new_Transformed","LotArea_Transformed","BsmtFinSF1_New_Transformed"
"1",1,50,"RL",82,12375,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","1.5Fin",5,5,1951,1951,"Gable","CompShg","HdBoard","HdBoard","Stone",41,"TA","Fa","CBlock","TA","TA","No","BLQ",329,"Unf",0,477,806,"GasA","TA","Y","SBrkr",1081,341,0,1422,1,0,1,0,3,1,"TA",7,"Typ",1,"TA","Detchd",1951,"Unf",1,288,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","GdWo","No misc feature",0,6,2006,"WD","Normal",131878.1028,55,55,3979,329,"low",7.94224874652265,3.80295246076139,9.42343358743689,4.2589150199572
"2",2,30,"RM",60,10800,"Pave","Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",4,7,1885,1995,"Mansard","CompShg","VinylSd","VinylSd","None",0,"TA","TA","BrkTil","Fa","TA","No","Unf",0,"Unf",0,641,641,"GasA","Gd","Y","SBrkr",1047,0,0,1047,0,0,1,0,2,1,"TA",6,"Typ",0,"Not Applicable","Detchd",1954,"Unf",1,273,"Fa","Fa","N",0,0,0,0,0,0,"Not Applicable","No Fence","Shed",450,8,2007,"WD","Normal",104069.2909,122,122,3008,1,"low",7.40575700406166,4.9596756638423,9.28730141311231,1
"3",3,45,"RM",58,6380,"Pave","No Alley","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",5,6,1922,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","No","Unf",0,"Unf",0,993,993,"GasA","TA","Y","FuseA",1048,0,0,1048,0,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1922,"Unf",1,280,"TA","TA","Y",0,0,116,0,0,0,"Not Applicable","No Fence","No misc feature",0,8,2006,"WD","Normal",116843.6504,84,84,3369,1,"low",7.61860140995221,4.37951913988789,8.76092337633884,1
"4",4,20,"RL",60,7200,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,8,1950,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",398,"BLQ",149,317,864,"GasA","Gd","Y","SBrkr",864,0,0,864,1,0,1,0,3,1,"Gd",5,"Typ",0,"Not Applicable","Detchd",1980,"RFn",2,720,"TA","TA","Y",194,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2007,"WD","Normal",132932.2089,57,57,3312,398,"middle",7.58617019844352,3.8485011312768,8.88183630500415,4.46653527281046
"5",5,60,"FV",100,13162,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Somerst","Feedr","Norm","1Fam","2Story",9,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",1836,"Unf",0,200,2036,"GasA","Ex","Y","SBrkr",2036,604,0,2640,1,0,3,1,3,1,"Ex",11,"Typ",1,"Gd","Attchd",2006,"RFn",3,792,"TA","TA","Y",0,265,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,11,2006,"New","Partial",429077.4306,1,1,8108,1836,"high",9.48917454133517,1,9.48508916901606,6.54588195518809
"6",6,80,"RL",61,9734,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","SLvl",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",241,"Rec",113,30,384,"GasA","Ex","Y","SBrkr",744,630,0,1374,0,0,2,1,3,1,"Gd",7,"Typ",0,"Not Applicable","BuiltIn",2004,"Fin",2,400,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,5,2009,"WD","Normal",174735.5884,5,5,3532,241,"middle",7.70912652849948,1.7099759466767,9.1833801903934,3.94007293032249
"7",7,30,"RL",60,10230,"Pave","Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,7,1925,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1054,1054,"GasA","Ex","Y","SBrkr",1078,0,0,1078,0,0,1,0,3,1,"Ex",6,"Typ",0,"Not Applicable","Detchd",1987,"Unf",1,264,"TA","TA","N",0,0,0,0,112,0,"Not Applicable","GdWo","No misc feature",0,12,2009,"WD","Normal",110017.2674,84,84,3474,1,"low",7.67728129699345,4.37951913988789,9.23307985894567,1
"8",8,190,"RL",195,41600,"Pave","No Alley","IR1","Lvl","FR2","Gtl","Gilbert","Norm","Norm","2fmCon","1Story",5,5,1969,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",1047,"Unf",0,53,1100,"GasW","TA","Y","SBrkr",1424,0,0,1424,1,0,1,1,3,1,"TA",7,"Mod",0,"Not Applicable","2Types",1969,"Unf",3,828,"TA","TA","N",144,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,11,2007,"WD","Normal",181562.4679,38,38,4776,1047,"middle",8.31315885645667,3.36197540679896,10.6358554462494,5.68835471597253
"9",9,20,"RL",66,7742,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",763,"Unf",0,192,955,"GasA","Ex","Y","SBrkr",955,0,0,955,1,0,1,0,3,1,"TA",6,"Typ",0,"Not Applicable","Attchd",1966,"Unf",1,386,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","MnPrv","No misc feature",0,1,2007,"WD","Normal",130999.352,41,41,3251,763,"low",7.55099603764919,3.44821724038273,8.95441533113759,5.25570686338824
"10",10,20,"RL",85,11128,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Somerst","PosN","PosN","1Fam","1Story",9,5,2005,2006,"Hip","CompShg","VinylSd","VinylSd","Stone",198,"Ex","TA","PConc","Ex","TA","Gd","GLQ",2158,"Unf",0,300,2458,"GasA","Ex","Y","SBrkr",2490,0,0,2490,1,0,2,0,2,1,"Ex",9,"Typ",2,"Gd","Attchd",2005,"Fin",3,795,"TA","TA","Y",70,226,0,0,0,0,"Not Applicable","GdPrv","No misc feature",0,10,2009,"WD","Normal",438457.7761,4,4,8431,2158,"high",9.58230019457844,1.5874010519682,9.31721973360328,6.81573756811013
